ticker,market,sector,sub_sector,market_cap,is_etf
DIVGIITTS.BO,BSE,Others,Diversified,Small Cap,False
DIVGIITTS.NS,NSE,Others,Diversified,Small Cap,False
DIVISLAB.BO,BSE,Healthcare,Healthcare,Large Cap,False
DIVISLAB.NS,NSE,Healthcare,Healthcare,Large Cap,False
DIXON.BO,BSE,Telecommunications,Telecommunications,Small Cap,False
DIXON.NS,NSE,Telecommunications,Telecommunications,Mid Cap,False
DJML.BO,BSE,Others,Diversified,Small Cap,False
DJML.NS,NSE,Others,Diversified,Small Cap,False
DLF.BO,BSE,Real Estate,Real Estate,Small Cap,False
DLF.NS,NSE,Real Estate,Real Estate,Mid Cap,False
DLINKINDIA.BO,BSE,Others,Diversified,Small Cap,False
DLINKINDIA.NS,NSE,Others,Diversified,Small Cap,False
DMART.BO,BSE,Consumer Goods,Consumer Goods,Small Cap,False
DMART.NS,NSE,Consumer Goods,Consumer Goods,Mid Cap,False
DMCC.BO,BSE,Others,Diversified,Small Cap,False
DMCC.NS,NSE,Others,Diversified,Small Cap,False
DNAMEDIA.BO,BSE,Others,Diversified,Small Cap,False
DNAMEDIA.NS,NSE,Others,Diversified,Small Cap,False
DODLA.BO,BSE,Others,Diversified,Small Cap,False
DODLA.NS,NSE,Others,Diversified,Small Cap,False
DOLATALGO.BO,BSE,Others,Diversified,Small Cap,False
DOLATALGO.NS,NSE,Others,Diversified,Small Cap,False
DOLLAR.BO,BSE,Others,Diversified,Small Cap,False
DOLLAR.NS,NSE,Others,Diversified,Small Cap,False
DOLPHIN.BO,BSE,Others,Diversified,Small Cap,False
DOLPHIN.NS,NSE,Others,Diversified,Small Cap,False
DOMS.BO,BSE,Others,Diversified,Small Cap,False
DOMS.NS,NSE,Others,Diversified,Small Cap,False
DONEAR.BO,BSE,Others,Diversified,Small Cap,False
DONEAR.NS,NSE,Others,Diversified,Small Cap,False
DPABHUSHAN.BO,BSE,Others,Diversified,Small Cap,False
DPABHUSHAN.NS,NSE,Others,Diversified,Small Cap,False
DPSCLTD.BO,BSE,Others,Diversified,Small Cap,False
DPSCLTD.NS,NSE,Others,Diversified,Small Cap,False
DPWIRES.BO,BSE,Others,Diversified,Small Cap,False
DPWIRES.NS,NSE,Others,Diversified,Small Cap,False
DRCSYSTEMS.BO,BSE,Others,Diversified,Small Cap,False
DRCSYSTEMS.NS,NSE,Others,Diversified,Small Cap,False
DREAMFOLKS.BO,BSE,Others,Diversified,Small Cap,False
DREAMFOLKS.NS,NSE,Others,Diversified,Small Cap,False
DREDGECORP.BO,BSE,Others,Diversified,Small Cap,False
DREDGECORP.NS,NSE,Others,Diversified,Small Cap,False
DRREDDY.BO,BSE,Healthcare,Healthcare,Large Cap,False
DRREDDY.NS,NSE,Healthcare,Healthcare,Large Cap,False
DSSL.BO,BSE,Others,Diversified,Small Cap,False
DSSL.NS,NSE,Others,Diversified,Small Cap,False
DTIL.BO,BSE,Others,Diversified,Small Cap,False
DTIL.NS,NSE,Others,Diversified,Small Cap,False
DUCON.BO,BSE,Others,Diversified,Small Cap,False
DUCON.NS,NSE,Others,Diversified,Small Cap,False
DVL.BO,BSE,Others,Diversified,Small Cap,False
DVL.NS,NSE,Others,Diversified,Small Cap,False
DWARKESH.BO,BSE,Others,Diversified,Small Cap,False
DWARKESH.NS,NSE,Others,Diversified,Small Cap,False
DYCL.BO,BSE,Others,Diversified,Small Cap,False
DYCL.NS,NSE,Others,Diversified,Small Cap,False
DYNAMATECH.BO,BSE,Others,Diversified,Small Cap,False
DYNAMATECH.NS,NSE,Others,Diversified,Small Cap,False
DYNPRO.BO,BSE,Others,Diversified,Small Cap,False
DYNPRO.NS,NSE,Others,Diversified,Small Cap,False
E2E.BO,BSE,Others,Diversified,Small Cap,False
E2E.NS,NSE,Others,Diversified,Small Cap,False
EASEMYTRIP.BO,BSE,Others,Diversified,Small Cap,False
EASEMYTRIP.NS,NSE,Others,Diversified,Small Cap,False
EBGNG.BO,BSE,Others,Diversified,Small Cap,False
EBGNG.NS,NSE,Others,Diversified,Small Cap,False
ECLERX.BO,BSE,Others,Diversified,Small Cap,False
ECLERX.NS,NSE,Others,Diversified,Small Cap,False
ECOSMOBLTY.BO,BSE,Others,Diversified,Small Cap,False
ECOSMOBLTY.NS,NSE,Others,Diversified,Small Cap,False
EDELWEISS.BO,BSE,Others,Diversified,Small Cap,False
EDELWEISS.NS,NSE,Others,Diversified,Small Cap,False
EFCIL.BO,BSE,Others,Diversified,Small Cap,False
EFCIL.NS,NSE,Others,Diversified,Small Cap,False
EICHERMOT.BO,BSE,Automobile,Automobile,Large Cap,False
EICHERMOT.NS,NSE,Automobile,Automobile,Large Cap,False
EIDPARRY.BO,BSE,Others,Diversified,Small Cap,False
EIDPARRY.NS,NSE,Others,Diversified,Small Cap,False
EIEL.BO,BSE,Others,Diversified,Small Cap,False
EIEL.NS,NSE,Others,Diversified,Small Cap,False
EIFFL.BO,BSE,Others,Diversified,Small Cap,False
EIFFL.NS,NSE,Others,Diversified,Small Cap,False
EIHAHOTELS.BO,BSE,Others,Diversified,Small Cap,False
EIHAHOTELS.NS,NSE,Others,Diversified,Small Cap,False
EIHOTEL.BO,BSE,Others,Diversified,Small Cap,False
EIHOTEL.NS,NSE,Others,Diversified,Small Cap,False
EIMCOELECO.BO,BSE,Others,Diversified,Small Cap,False
EIMCOELECO.NS,NSE,Others,Diversified,Small Cap,False
EKC.BO,BSE,Others,Diversified,Small Cap,False
EKC.NS,NSE,Others,Diversified,Small Cap,False
ELDEHSG.BO,BSE,Others,Diversified,Small Cap,False
ELDEHSG.NS,NSE,Others,Diversified,Small Cap,False
ELECON.BO,BSE,Others,Diversified,Small Cap,False
ELECON.NS,NSE,Others,Diversified,Small Cap,False
ELECTCAST.BO,BSE,Others,Diversified,Small Cap,False
ELECTCAST.NS,NSE,Others,Diversified,Small Cap,False
ELECTHERM.BO,BSE,Others,Diversified,Small Cap,False
ELECTHERM.NS,NSE,Others,Diversified,Small Cap,False
ELGIEQUIP.BO,BSE,Others,Diversified,Small Cap,False
ELGIEQUIP.NS,NSE,Others,Diversified,Small Cap,False
ELGIRUBCO.BO,BSE,Others,Diversified,Small Cap,False
ELGIRUBCO.NS,NSE,Others,Diversified,Small Cap,False
ELIN.BO,BSE,Others,Diversified,Small Cap,False
ELIN.NS,NSE,Others,Diversified,Small Cap,False
ELLEN.BO,BSE,Others,Diversified,Small Cap,False
ELLEN.NS,NSE,Others,Diversified,Small Cap,False
EMAMILTD.BO,BSE,Consumer Goods,Consumer Goods,Small Cap,False
EMAMILTD.NS,NSE,Consumer Goods,Consumer Goods,Small Cap,False
EMAMIPAP.BO,BSE,Others,Diversified,Small Cap,False
EMAMIPAP.NS,NSE,Others,Diversified,Small Cap,False
EMAMIREAL.BO,BSE,Others,Diversified,Small Cap,False
EMAMIREAL.NS,NSE,Others,Diversified,Small Cap,False
EMBDL.BO,BSE,Others,Diversified,Small Cap,False
EMBDL.NS,NSE,Others,Diversified,Small Cap,False
EMCURE.BO,BSE,Others,Diversified,Small Cap,False
EMCURE.NS,NSE,Others,Diversified,Small Cap,False
EMIL.BO,BSE,Others,Diversified,Small Cap,False
EMIL.NS,NSE,Others,Diversified,Small Cap,False
EMKAY.BO,BSE,Others,Diversified,Small Cap,False
EMKAY.NS,NSE,Others,Diversified,Small Cap,False
EMMBI.BO,BSE,Others,Diversified,Small Cap,False
EMMBI.NS,NSE,Others,Diversified,Small Cap,False
EMMVEE.BO,BSE,Others,Diversified,Small Cap,False
EMMVEE.NS,NSE,Others,Diversified,Small Cap,False
EMSLIMITED.BO,BSE,Others,Diversified,Small Cap,False
EMSLIMITED.NS,NSE,Others,Diversified,Small Cap,False
EMUDHRA.BO,BSE,Others,Diversified,Small Cap,False
EMUDHRA.NS,NSE,Others,Diversified,Small Cap,False
ENDURANCE.BO,BSE,Automobile,Automobile,Small Cap,False
ENDURANCE.NS,NSE,Automobile,Automobile,Small Cap,False
ENERGYDEV.BO,BSE,Others,Diversified,Small Cap,False
