ticker,market
GRWRHITECH.NS,NSE
GSFC.NS,NSE
GSLSU.NS,NSE
GSPL.NS,NSE
GSS.NS,NSE
GTECJAINX.NS,NSE
GTL.NS,NSE
GTLINFRA.NS,NSE
GTPL.NS,NSE
GUFICBIO.NS,NSE
GUJALKALI.NS,NSE
GUJAPOLLO.NS,NSE
GUJGASLTD.NS,NSE
GUJRAFFIA.NS,NSE
GUJTHEM.NS,NSE
GULFOILLUB.NS,NSE
GULFPETRO.NS,NSE
GULPOLY.NS,NSE
GVKPIL.NS,NSE
GVPIL.NS,NSE
GVPTECH.NS,NSE
HAL.NS,NSE
HALEOSLABS.NS,NSE
HAPPSTMNDS.NS,NSE
HAPPYFORGE.NS,NSE
HARDWYN.NS,NSE
HARIOMPIPE.NS,NSE
HARRMALAYA.NS,NSE
HARSHA.NS,NSE
HATHWAY.NS,NSE
HATSUN.NS,NSE
HAVELLS.NS,NSE
HAVISHA.NS,NSE
HBLENGINE.NS,NSE
HBSL.NS,NSE
HCC.NS,NSE
HCG.NS,NSE
HCL-INSYS.NS,NSE
HCLTECH.NS,NSE
HDBFS.NS,NSE
HDFCAMC.NS,NSE
HDFCBANK.NS,NSE
HDFCLIFE.NS,NSE
HDIL.NS,NSE
HEADSUP.NS,NSE
HECPROJECT.NS,NSE
HEG.NS,NSE
HEIDELBERG.NS,NSE
HEMIPROP.NS,NSE
HERANBA.NS,NSE
HERITGFOOD.NS,NSE
HEROMOTOCO.NS,NSE
HESTERBIO.NS,NSE
HEUBACHIND.NS,NSE
HEXATRADEX.NS,NSE
HEXT.NS,NSE
HFCL.NS,NSE
HGINFRA.NS,NSE
HGM.NS,NSE
HGS.NS,NSE
HIKAL.NS,NSE
HILINFRA.NS,NSE
HILTON.NS,NSE
HIMATSEIDE.NS,NSE
HINDALCO.NS,NSE
HINDCOMPOS.NS,NSE
HINDCON.NS,NSE
HINDCOPPER.NS,NSE
HINDOILEXP.NS,NSE
HINDPETRO.NS,NSE
HINDUNILVR.NS,NSE
HINDWAREAP.NS,NSE
HINDZINC.NS,NSE
HIRECT.NS,NSE
HISARMETAL.NS,NSE
HITECH.NS,NSE
HITECHCORP.NS,NSE
HITECHGEAR.NS,NSE
HLEGLAS.NS,NSE
HLVLTD.NS,NSE
HMAAGRO.NS,NSE
HMT.NS,NSE
HMVL.NS,NSE
HNDFDS.NS,NSE
HOMEFIRST.NS,NSE
HONASA.NS,NSE
HONAUT.NS,NSE
HONDAPOWER.NS,NSE
HPAL.NS,NSE
HPIL.NS,NSE
HPL.NS,NSE
HSCL.NS,NSE
HTMEDIA.NS,NSE
HUBTOWN.NS,NSE
HUDCO.NS,NSE
HUHTAMAKI.NS,NSE
HYBRIDFIN.NS,NSE
HYUNDAI.NS,NSE
IBULLSLTD.NS,NSE
ICDSLTD.NS,NSE
ICEMAKE.NS,NSE
ICICIAMC.NS,NSE
ICICIBANK.NS,NSE
ICICIGI.NS,NSE
ICICIPRULI.NS,NSE
ICIL.NS,NSE
ICRA.NS,NSE
IDBI.NS,NSE
IDEA.NS,NSE
IDEAFORGE.NS,NSE
IDFCFIRSTB.NS,NSE
IEX.NS,NSE
IFBAGRO.NS,NSE
IFBIND.NS,NSE
IFCI.NS,NSE
IFGLEXPOR.NS,NSE
IGARASHI.NS,NSE
IGCL.NS,NSE
IGIL.NS,NSE
IGL.NS,NSE
IGPL.NS,NSE
IIFL.NS,NSE
IIFLCAPS.NS,NSE
IITL.NS,NSE
IKIO.NS,NSE
IKS.NS,NSE
IMAGICAA.NS,NSE
IMFA.NS,NSE
IMPAL.NS,NSE
IMPEXFERRO.NS,NSE
INCREDIBLE.NS,NSE
INDBANK.NS,NSE
INDGN.NS,NSE
INDHOTEL.NS,NSE
INDIACEM.NS,NSE
INDIAGLYCO.NS,NSE
INDIAMART.NS,NSE
INDIANB.NS,NSE
INDIANCARD.NS,NSE
INDIANHUME.NS,NSE
INDIASHLTR.NS,NSE
INDIGO.NS,NSE
INDIGOPNTS.NS,NSE
INDIQUBE.NS,NSE
INDNIPPON.NS,NSE
INDOAMIN.NS,NSE
INDOBORAX.NS,NSE
INDOCO.NS,NSE
INDOFARM.NS,NSE
INDORAMA.NS,NSE
INDOSTAR.NS,NSE
INDOTECH.NS,NSE
INDOTHAI.NS,NSE
INDOUS.NS,NSE
INDOWIND.NS,NSE
INDRAMEDCO.NS,NSE
INDSWFTLAB.NS,NSE
INDTERRAIN.NS,NSE
INDUSINDBK.NS,NSE
INDUSTOWER.NS,NSE
INFIBEAM.NS,NSE
INFOBEAN.NS,NSE
INFOMEDIA.NS,NSE
INFY.NS,NSE
INGERRAND.NS,NSE
INNOVACAP.NS,NSE
INNOVANA.NS,NSE
INOXGREEN.NS,NSE
INOXINDIA.NS,NSE
INOXWIND.NS,NSE
INSECTICID.NS,NSE
INSPIRISYS.NS,NSE
INTELLECT.NS,NSE
INTENTECH.NS,NSE
INTERARCH.NS,NSE
INTLCONV.NS,NSE
INVENTURE.NS,NSE
IOB.NS,NSE
IOC.NS,NSE
IOLCP.NS,NSE
IONEXCHANG.NS,NSE
IPCALAB.NS,NSE
IPL.NS,NSE
IRB.NS,NSE
IRCON.NS,NSE
IRCTC.NS,NSE
IREDA.NS,NSE
IRFC.NS,NSE
IRIS.NS,NSE
IRISDOREME.NS,NSE
IRMENERGY.NS,NSE
ISFT.NS,NSE
ISGEC.NS,NSE
ISHANCH.NS,NSE
ITC.NS,NSE
ITCHOTELS.NS,NSE
ITDC.NS,NSE
ITI.NS,NSE
IVALUE.NS,NSE
IVC.NS,NSE
IVP.NS,NSE
IXIGO.NS,NSE
IZMO.NS,NSE
JAGRAN.NS,NSE
JAGSNPHARM.NS,NSE
JAIBALAJI.NS,NSE
JAICORPLTD.NS,NSE
JAINREC.NS,NSE
JAIPURKURT.NS,NSE
JAMNAAUTO.NS,NSE
JARO.NS,NSE
JASH.NS,NSE
JAYAGROGN.NS,NSE
JAYBARMARU.NS,NSE
JAYKAY.NS,NSE
JAYNECOIND.NS,NSE
JAYSREETEA.NS,NSE
JBCHEPHARM.NS,NSE
JBMA.NS,NSE
JETFREIGHT.NS,NSE
JGCHEM.NS,NSE
JHS.NS,NSE
JINDALPHOT.NS,NSE
JINDALPOLY.NS,NSE
JINDALSAW.NS,NSE
JINDALSTEL.NS,NSE
JINDRILL.NS,NSE
JINDWORLD.NS,NSE
JIOFIN.NS,NSE
JISLDVREQS.NS,NSE
JISLJALEQS.NS,NSE
JITFINFRA.NS,NSE
JKCEMENT.NS,NSE
JKIL.NS,NSE
